,id,member_id,loan_amnt,funded_amnt,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,loan_is_bad
33428,1492838,1753122,1000,1000,34.23,B,B5,REMAX  PEOPLE REALTY,4.0,RENT,57000.0,credit_card,PAY MY CREDIT CARD,113xx,NY,1.37,0,07-Jun,1,,,3,0,1311,43.70%,4,f,0,,INDIVIDUAL,0,0.0,1311.0,True
27520,1559251,1826403,17200,17200,598.86,C,C2,Malvi Systems LLC,6.0,RENT,90000.0,debt_consolidation,Debt consolidation,452xx,OH,5.64,0,05-Nov,0,,,6,0,21330,83.60%,8,f,0,,INDIVIDUAL,0,0.0,21330.0,True
34248,1482669,1741208,10000,10000,360.38,D,D1,Dollar Thrifty Automotive Group Inc,1.0,RENT,36000.0,other,Payoff car loan,331xx,FL,32.6,0,Mar-92,2,,,13,0,15877,96.20%,27,f,0,,INDIVIDUAL,0,0.0,53865.0,True
43578,1372202,1616796,5000,5000,172.48,C,C2,Hair Club,1.0,RENT,58000.0,debt_consolidation,Debt Consolidation,208xx,MD,16.45,1,Jan-94,0,14.0,,13,0,5313,64%,21,f,0,,INDIVIDUAL,0,,,True
31525,1517695,1780467,21000,21000,468.41,B,B3,University of Miami,7.0,MORTGAGE,92000.0,credit_card,Refi,330xx,FL,17.63,1,May-93,0,17.0,,7,0,3083,28.30%,19,f,0,,INDIVIDUAL,0,0.0,325499.0,True
14989,2274641,2696799,4000,4000,129.37,B,B1,Hampton Inn ans Suites,3.0,RENT,24000.0,debt_consolidation,payoff debt at lower interest,786xx,TX,2.25,0,Jan-95,0,32.0,,13,0,110,0.40%,49,f,0,32.0,INDIVIDUAL,0,0.0,110.0,True
20194,1693665,1976417,16000,16000,441.73,E,E4,Emerge Inc,9.0,RENT,50000.0,credit_card,Pay off cards,212xx,MD,29.88,0,Aug-00,3,76.0,,14,0,18038,56.50%,28,f,0,76.0,INDIVIDUAL,0,0.0,46831.0,True
38484,1433647,1685377,20000,20000,468.8,C,C1,Lola's on Harrison,1.0,RENT,50000.0,debt_consolidation,Getting out of debt...Finally!!,333xx,FL,15.12,0,Sep-74,0,,,10,0,15826,63.30%,22,f,0,,INDIVIDUAL,0,,,True
2638,3195209,3927967,17475,17475,482.45,E,E4,TD ,10.0,MORTGAGE,62000.0,debt_consolidation,Consolidation,284xx,NC,10.55,0,Mar-86,2,55.0,,8,0,13081,68.90%,11,f,0,55.0,INDIVIDUAL,0,0.0,118222.0,True
33328,1494130,1754207,11625,11625,407.56,C,C3,Naples Yacht Club,2.0,RENT,60000.0,debt_consolidation,Debt Consolidation,341xx,FL,33.02,0,Jan-95,1,,,12,0,7564,92.20%,22,f,0,,INDIVIDUAL,0,0.0,37561.0,True
2403,3197374,3930257,8750,8750,313.14,C,C5,Asg security,1.0,MORTGAGE,60000.0,debt_consolidation,Consolidation Loan,170xx,PA,16.02,0,04-Aug,2,73.0,110.0,13,1,8867,66.20%,26,w,0,,INDIVIDUAL,0,0.0,167467.0,True
4914,3145391,3857604,35000,35000,1227.05,C,C3,Dr G Saurina,3.0,RENT,80000.0,debt_consolidation,My Future,316xx,GA,15.88,0,Nov-91,1,,,8,0,12813,75.40%,21,w,0,,INDIVIDUAL,0,0.0,27050.0,True
30163,1533384,1797774,1500,1500,53.69,C,C5,distribio usa,1.0,RENT,17500.0,debt_consolidation,payback,100xx,NY,7.34,0,Dec-91,1,37.0,,5,0,2695,62.70%,19,f,0,37.0,INDIVIDUAL,0,0.0,43466.0,True
28307,1529091,1793086,7000,7000,219.04,A,A4,District Photo,10.0,RENT,78000.0,debt_consolidation,Lower my monthly bills,207xx,MD,13.47,0,Feb-94,0,,,7,0,10753,68.90%,12,f,0,,INDIVIDUAL,0,0.0,21367.0,True
3237,3064830,3737027,35000,35000,946.87,E,E2,Lawrence memorial hospital,10.0,MORTGAGE,90000.0,credit_card,Financial opportunity,063xx,CT,22.56,0,Jul-87,1,,,16,0,25757,76%,33,f,0,,INDIVIDUAL,0,0.0,281463.0,True
38003,1381965,1626916,10000,10000,363.99,D,D2,CenturyLink,5.0,RENT,40000.0,debt_consolidation,Consolidation/pay down,551xx,MN,33.64,0,Oct-95,2,,,23,0,17427,49.80%,37,f,0,,INDIVIDUAL,0,,,True
43719,1109667,1346297,5375,5375,192.36,D,D1,Healthcare Partners Medical Group,4.0,RENT,26000.0,credit_card,YvonneLoan,905xx,CA,14.94,0,03-Oct,0,,,11,0,7835,96.70%,12,f,0,,INDIVIDUAL,0,,,True
26437,1560228,1827104,8500,8500,291.88,C,C1,Liberty Investment Properties,1.0,RENT,25000.0,credit_card,credit card consolidation,325xx,FL,13.78,0,Nov-00,1,,,9,0,7782,53.30%,29,f,0,,INDIVIDUAL,0,0.0,7782.0,True
6768,3007055,3639481,16000,16000,437.28,E,E3,DFAS-JMSB/DE (US. Air Force),10.0,RENT,60453.48,debt_consolidation,loan consolidation,236xx,VA,28.19,0,02-Apr,2,,,19,0,22066,73.60%,28,f,0,,INDIVIDUAL,0,0.0,52463.0,True
43036,1382556,1628140,18000,18000,655.18,D,D2,United States Navy,6.0,RENT,58664.0,debt_consolidation,Debt Consolidation,234xx,VA,20.35,2,Oct-99,2,7.0,,8,0,13893,93.20%,21,f,0,,INDIVIDUAL,0,,,True
26353,1578333,1847081,9325,9325,324.68,C,C2,Peapod LLC,3.0,RENT,60000.0,medical,MED,209xx,MD,27.12,0,01-Aug,1,29.0,,10,0,2969,53%,16,f,0,29.0,INDIVIDUAL,0,0.0,60344.0,True
3872,3161123,3873690,29700,29700,1062.89,C,C5,Parkview Lagrange Hospital,10.0,MORTGAGE,67000.0,debt_consolidation,debt,467xx,IN,20.88,0,02-Sep,1,,,14,0,9322,73.40%,27,f,0,,INDIVIDUAL,0,0.0,99266.0,True
37719,1443676,1696064,1200,1200,42.37,C,C4,,,RENT,19000.0,credit_card,Pay off Credit Cards,274xx,NC,10.58,0,Jan-99,1,,,7,0,2862,59.60%,15,f,0,,INDIVIDUAL,0,,,True
47414,1316165,1561310,6000,6000,214.73,D,D1,Sedgwick CMS,1.0,RENT,32000.0,debt_consolidation,CreditCard Debt Consolidation Loan 1,132xx,NY,22.99,0,04-Oct,0,,,20,0,10176,89.30%,38,f,0,,INDIVIDUAL,0,,,True
36917,1453183,1706926,18825,18825,495.82,D,D5,Transportation Security Administration,6.0,MORTGAGE,48000.0,debt_consolidation,2012 GOAL: DEBT FREE! :),945xx,CA,31.95,1,Dec-00,2,6.0,,14,0,10135,60.80%,40,f,0,,INDIVIDUAL,0,,,True
35201,1471262,1728250,3250,3250,114.73,C,C4,Allegiant Air,1.0,MORTGAGE,46900.0,debt_consolidation,Debt Consolidation,852xx,AZ,29.35,0,Jan-98,3,38.0,,12,0,4782,46.90%,21,f,0,,INDIVIDUAL,0,,,True
39977,1419093,1669233,34475,22375,634.37,F,F2,Lake Merwin Campers Hideaway,10.0,MORTGAGE,86958.0,debt_consolidation,I Can Breath Again Loan,986xx,WA,25.46,0,Jul-96,0,,,14,0,10711,75.40%,22,f,0,,INDIVIDUAL,0,,,True
40076,1417643,1667916,10000,10000,348.18,C,C2,JPMorgan Chase Bank,7.0,RENT,50000.0,debt_consolidation,Debt Consolidation,114xx,NY,15.79,0,02-Jun,0,,,9,0,9838,78.70%,12,f,0,,INDIVIDUAL,0,,,True
14679,1571414,1839238,8000,8000,258.74,B,B1,LINC/ABM SERVICES,10.0,MORTGAGE,65000.0,debt_consolidation,CREDIT DEBT,750xx,TX,19.26,0,Jun-94,0,,,17,0,18758,62.70%,41,f,0,,INDIVIDUAL,0,73.0,288980.0,True
6226,3056664,3729230,11500,11500,414.43,D,D1,jcpenney,10.0,MORTGAGE,33000.0,debt_consolidation,consolidate,497xx,MI,31.35,1,Dec-93,2,23.0,,14,0,6670,67.40%,42,f,0,55.0,INDIVIDUAL,0,0.0,16412.0,True
23952,1606479,1877874,24000,24000,685.29,F,F3,US Marshals Service,2.0,MORTGAGE,65000.0,debt_consolidation,Debt consolidation,339xx,FL,11.9,0,Mar-99,0,72.0,,7,0,18252,94.60%,18,f,0,,INDIVIDUAL,0,0.0,188047.0,True
18818,1865075,2167274,10300,10300,252.07,C,C4,Pajaro Valley Unified School District,10.0,RENT,34000.0,debt_consolidation,The Best Thing,950xx,CA,23.15,0,Mar-89,2,,,17,0,20004,49.10%,30,f,0,,INDIVIDUAL,0,0.0,20004.0,True
36194,1460411,1715515,20775,20775,713.38,C,C1,Cox communications,10.0,MORTGAGE,86000.0,debt_consolidation,2012 Relief,234xx,VA,30.47,0,Jul-94,0,,,10,0,34787,97.40%,24,f,0,,INDIVIDUAL,0,,,True
21945,1674692,1956857,18000,18000,464.46,D,D3,C.H. Robinson,8.0,MORTGAGE,85000.0,debt_consolidation,Debt consolidation,212xx,MD,18.86,0,01-Apr,0,,,13,0,23025,57.30%,20,f,0,,INDIVIDUAL,0,0.0,330078.0,True
29863,1537455,1802741,23000,23000,828.86,D,D1,Laurelhurstvillage.,9.0,RENT,90000.0,debt_consolidation,Debt Consolidation,972xx,OR,14.8,1,04-Jun,0,16.0,,10,0,16401,63.60%,17,f,0,,INDIVIDUAL,0,439.0,21813.0,True
15508,1692843,1975553,21000,21000,767.13,D,D3,Hunt building company,1.0,RENT,49920.0,major_purchase,"Major purchase, payoff some loan",968xx,HI,5.72,0,01-May,0,,,4,0,12453,92.90%,17,f,0,,INDIVIDUAL,0,0.0,12453.0,True
49002,1288393,1532581,30000,30000,1103.03,D,D5,AT+T,10.0,MORTGAGE,91000.0,debt_consolidation,CREDIT CARD DEBT CONSOLIDATION,543xx,WI,24.05,0,Jul-98,2,,,17,0,61998,66.50%,41,f,0,,INDIVIDUAL,0,,,True
12066,2368803,2831317,10000,10000,360.38,D,D1,Raytheon,10.0,MORTGAGE,98000.0,debt_consolidation,Debt Consolidation,358xx,AL,23.95,0,Oct-95,1,38.0,,17,0,44404,93.70%,36,w,0,,INDIVIDUAL,0,0.0,152210.0,True
12907,2365064,2827248,4400,4400,144.35,B,B2,Phoenix Enterprise N.W. LLC,1.0,MORTGAGE,90000.0,credit_card,Credit card refinancing,993xx,WA,12.09,0,Nov-94,0,82.0,,7,0,7358,55.30%,17,w,0,,INDIVIDUAL,0,128.0,29536.0,True
29511,1541033,1806498,4450,4450,136.64,A,A2,Bone apetite,1.0,RENT,65000.0,car,Car paid,941xx,CA,13.29,0,03-May,0,,,8,0,8935,27.10%,17,f,0,,INDIVIDUAL,0,89.0,11796.0,True
40588,1410671,1660283,10000,10000,348.18,C,C2,USAF ,10.0,RENT,71000.0,debt_consolidation,Debt help,325xx,FL,32.01,0,01-Jan,0,,,14,0,28359,70.40%,33,f,0,,INDIVIDUAL,0,,,True
39756,1420952,1671622,12000,12000,399.26,B,B3,Duke Energy,5.0,MORTGAGE,62000.0,debt_consolidation,Debt Cons.,282xx,NC,24.23,0,Nov-99,0,,,14,0,22680,49.40%,39,f,0,,INDIVIDUAL,0,,,True
33816,1482522,1741021,14675,14675,488.27,B,B3,NEW YORK CITY HOUSING AUTHORITY,3.0,RENT,36832.0,debt_consolidation,consolidated,112xx,NY,6.97,0,01-May,2,,,7,0,7180,70.40%,9,f,0,,INDIVIDUAL,0,0.0,7496.0,True
15332,2088243,2420664,17050,17050,442.76,D,D4,Assata High School,2.0,OWN,43000.0,wedding,Wedding,549xx,WI,20.81,1,Dec-97,2,22.0,,14,0,20284,25.60%,31,f,0,,INDIVIDUAL,0,0.0,29729.0,True
45556,1344160,1588947,3750,3750,130.57,C,C3,Target,3.0,RENT,19000.0,debt_consolidation,Moving on up,797xx,TX,26.46,0,02-Aug,3,,,10,0,3733,33.90%,17,f,0,,INDIVIDUAL,0,,,True
43764,1353505,1597862,4125,4125,137.25,B,B3,naf,7.0,OWN,35000.0,other,infiniti pay down,080xx,NJ,27.89,0,06-Dec,1,,,6,0,3342,64.30%,10,f,0,,INDIVIDUAL,0,,,True
2704,3196935,3929781,22400,22400,734.84,B,B2,Capital Group Companies,4.0,RENT,104000.0,debt_consolidation,ccpayoff,900xx,CA,14.33,0,Sep-88,0,,99.0,13,1,27946,73.90%,36,w,0,,INDIVIDUAL,0,0.0,76607.0,True
34643,1457668,1712579,10000,10000,337.47,B,B4,Restaurant Associates,10.0,RENT,64000.0,moving,Emergency Loan,070xx,NJ,17.91,0,Nov-99,0,31.0,15.0,15,3,8185,32.10%,35,f,0,,INDIVIDUAL,0,,,True
32138,1509567,1771319,21250,21250,729.69,C,C1,St Rose Dominican Hospital,5.0,MORTGAGE,56000.0,debt_consolidation,Future Planning,891xx,NV,24.75,0,Jun-00,0,,,13,0,20438,83.80%,20,f,0,,INDIVIDUAL,0,0.0,237696.0,True
13721,2299058,2731529,24000,24000,623.24,D,D4,HRGNA,8.0,MORTGAGE,60000.0,debt_consolidation,Pay my debt,174xx,PA,27.63,0,May-97,2,41.0,,10,0,15315,93.40%,27,f,0,41.0,INDIVIDUAL,0,0.0,185462.0,True
27912,1558995,1825875,18450,18450,485.95,D,D5,First Baptist Church of Carolina Beach,4.0,MORTGAGE,77243.0,debt_consolidation,Debt consolidation,284xx,NC,9.23,0,Dec-94,2,,,10,0,25538,80.60%,30,f,0,,INDIVIDUAL,0,0.0,268784.0,True
31315,1518408,1781210,11500,11500,405.96,C,C4,,,RENT,32940.0,debt_consolidation,Debt consolidation,360xx,AL,24.81,0,Sep-84,1,,,7,0,942,78.50%,37,f,0,,INDIVIDUAL,0,0.0,19998.0,True
32383,1506021,1767642,10000,10000,353.01,C,C4,venice nail salon,5.0,RENT,80000.0,credit_card,credit card funding,951xx,CA,7.14,0,Aug-94,1,40.0,,10,0,24220,56.30%,18,f,0,40.0,INDIVIDUAL,0,0.0,28088.0,True
39500,1423911,1674947,20000,20000,552.16,E,E4,Southwestern VT Medical Center,10.0,RENT,103000.0,debt_consolidation,Personal Loan,052xx,VT,21.62,0,01-Sep,1,60.0,,13,0,11623,89.40%,34,f,0,,INDIVIDUAL,0,,,True
15140,2229124,2641702,14400,14400,492.79,B,B5,Dr. Reddy's Laboratories,6.0,MORTGAGE,57408.0,debt_consolidation,Debt Consolidation,088xx,NJ,15.76,0,Jun-99,1,,,10,0,13302,77.80%,25,f,0,,INDIVIDUAL,0,0.0,271386.0,True
24211,1600290,1871149,28000,28000,1027.08,D,D4,komtur pharmaceutical,2.0,RENT,215000.0,debt_consolidation,debt consolidation,070xx,NJ,7.58,0,Jan-94,2,,,9,0,10281,87.90%,41,f,0,,INDIVIDUAL,0,0.0,277123.0,True
45173,1347717,1592250,11100,11100,379.32,C,C1,Hearts,1.0,RENT,40000.0,wedding,Wedding expenses,852xx,AZ,8.79,0,06-Jul,3,,,3,0,4241,78.50%,6,f,0,,INDIVIDUAL,0,,,True
7185,3005185,3637396,12500,12500,391.13,A,A4,Union Pacific Railroad ,2.0,MORTGAGE,88800.0,debt_consolidation,Consolidation ,707xx,LA,24.07,0,Jul-99,1,27.0,,11,0,26479,62.70%,31,f,0,,INDIVIDUAL,0,0.0,256715.0,True
35311,1469870,1726752,8875,8875,323.04,D,D2,Detroit Sportsmens Congress,10.0,OWN,60000.0,debt_consolidation,Debt consolidation,480xx,MI,12.02,0,05-Mar,1,,,9,0,5913,87%,14,f,0,,INDIVIDUAL,0,,,True
37604,1445340,1698007,10000,10000,343.39,C,C1,G4s,5.0,MORTGAGE,45000.0,wedding,Wedding loan,329xx,FL,28.59,1,01-Sep,2,18.0,,13,0,8905,34.10%,26,f,0,,INDIVIDUAL,0,,,True
18761,1865471,2167695,16000,16000,446.19,E,E5,U.S. Coast Guard,10.0,RENT,71400.0,debt_consolidation,All Debt Pay-Off Loan,279xx,NC,19.14,1,02-Feb,0,11.0,,8,0,7999,89.90%,19,f,0,57.0,INDIVIDUAL,0,0.0,32737.0,True
28277,1554448,1821135,9600,9600,319.41,B,B3,Beretta,1.0,RENT,40000.0,debt_consolidation,Consolidation,941xx,CA,24.03,0,04-Feb,0,,,10,0,9427,82.70%,11,f,0,,INDIVIDUAL,0,0.0,35891.0,True
46920,1319012,1564401,10000,10000,332.72,B,B3,,3.0,RENT,45000.0,credit_card,payoff,811xx,CO,9.95,0,Oct-94,0,,,5,0,15103,84.80%,7,f,0,,INDIVIDUAL,0,,,True
44843,1300233,1544413,14600,14600,485.77,B,B3,DOD,2.0,MORTGAGE,98000.0,debt_consolidation,Mastery payment,030xx,NH,16.33,0,Aug-00,2,52.0,,15,0,5879,41.40%,28,f,0,,INDIVIDUAL,0,,,True
43059,1382443,1627612,19650,19650,674.75,C,C1,Gemini Explorations,6.0,OWN,85000.0,home_improvement,Lending Club,711xx,LA,19.29,0,01-Nov,1,,,8,0,16402,54.90%,33,f,0,,INDIVIDUAL,0,,,True
24186,1604565,1875771,7200,7200,263.02,D,D3,New York City Transit ,10.0,RENT,94606.0,debt_consolidation,Debt Consolidation,117xx,NY,12.02,0,Dec-85,3,44.0,,12,0,17281,96.50%,23,w,0,44.0,INDIVIDUAL,0,0.0,30949.0,True
11596,2366509,2828831,18000,18000,590.5,B,B2,Elkins Constructors Inc,10.0,MORTGAGE,95000.0,debt_consolidation,Debt Consolidation,322xx,FL,17.02,0,Jul-96,2,59.0,,7,0,19506,98%,22,f,0,,INDIVIDUAL,0,0.0,324387.0,True
31650,1455602,1709630,10400,10400,346.03,B,B3,State Of California,4.0,RENT,40000.0,small_business,Exploding Health Care Business Expands,939xx,CA,30.87,0,01-Sep,0,,,5,0,22328,82.70%,5,f,0,,INDIVIDUAL,0,0.0,32484.0,True
4195,3159062,3871505,28000,28000,918.55,B,B2,Pronto Installation,1.0,MORTGAGE,92000.0,credit_card,Consolidation,921xx,CA,21.49,0,May-92,1,,,17,0,22197,49%,52,w,0,,INDIVIDUAL,0,0.0,343150.0,True
32187,1508539,1770363,3225,3225,100.92,A,A4,Seaside Casual Furniture,1.0,RENT,19500.0,debt_consolidation,Credit Card Consolidation,029xx,RI,28.12,0,04-Feb,1,,,7,0,3239,37.20%,12,f,0,,INDIVIDUAL,0,0.0,10438.0,True
5597,3096122,3768470,15000,15000,529.51,C,C4,Frontier Energy Group,2.0,MORTGAGE,65000.0,home_improvement,Home Repair,810xx,CO,8.51,0,Oct-94,0,,,7,0,10975,78.40%,11,f,0,,INDIVIDUAL,0,8984.0,10975.0,True
47967,1307479,1552279,7000,7000,225.09,B,B1,Secure Marketing Group,5.0,MORTGAGE,26500.0,debt_consolidation,Pay off Everything,338xx,FL,10.1,0,Oct-00,0,,,6,0,2335,47.70%,8,f,0,,INDIVIDUAL,0,,,True
45035,1350266,1594662,11000,11000,322.16,G,G5,Dept of housing & community renewal,5.0,MORTGAGE,50000.0,debt_consolidation,Debt consolidation,114xx,NY,23.18,0,Aug-88,2,40.0,45.0,30,2,17666,56.20%,40,f,0,,INDIVIDUAL,0,,,True
15723,2225465,2637685,4000,4000,137.36,C,C1,oakland university,10.0,OWN,30000.0,medical,Lending Club Loan,483xx,MI,23.36,0,Dec-93,1,73.0,,17,0,21596,65%,33,w,0,73.0,INDIVIDUAL,0,0.0,21596.0,True
48876,1292972,1537530,10800,10800,359.34,B,B3,Bloomington Junior High School,9.0,MORTGAGE,61000.0,debt_consolidation,Triple D,613xx,IL,6.35,0,Aug-98,1,,,11,0,15608,59.30%,33,f,0,,INDIVIDUAL,0,,,True
35931,1463581,1719351,1625,1625,60.16,D,D5,queenscare,10.0,OWN,33000.0,debt_consolidation,greatful,900xx,CA,20.33,0,Oct-00,2,,,3,0,1035,94.10%,6,f,0,,INDIVIDUAL,0,,,True
17110,2078938,2431359,10000,10000,343.39,C,C1,,,MORTGAGE,52296.0,debt_consolidation,Consolidate,958xx,CA,19.8,2,Feb-95,0,5.0,,18,0,14541,34.90%,20,f,0,,INDIVIDUAL,0,0.0,198811.0,True
36853,1441469,1693499,10800,10800,370.86,C,C1,State of Texas,10.0,MORTGAGE,47000.0,debt_consolidation,consolidation,786xx,TX,20.66,2,Sep-98,1,22.0,,7,0,709,41.70%,23,f,0,,INDIVIDUAL,0,,,True
6957,2894863,3527058,35000,35000,921.85,D,D5,bank of america,1.0,MORTGAGE,80000.0,home_improvement,home improvement,328xx,FL,19.9,0,Jun-96,1,37.0,,13,0,15093,71.90%,27,f,0,37.0,INDIVIDUAL,0,0.0,272000.0,True
45682,1342235,1586824,5000,5000,166.36,B,B3,Western MD Health System,10.0,MORTGAGE,70000.0,small_business,Photography,215xx,MD,19.15,0,Nov-97,0,58.0,,15,0,24638,69.20%,38,f,0,,INDIVIDUAL,0,,,True
11734,2367851,2830276,5000,5000,175.3,C,C3,"The Bon-Ton Stores, Inc.",2.0,MORTGAGE,46000.0,debt_consolidation,Consolidate,532xx,WI,20.13,1,Apr-99,3,15.0,,10,0,32857,76.40%,21,w,0,16.0,INDIVIDUAL,0,0.0,123680.0,True
19735,1694115,1996891,10000,10000,332.72,B,B3,AeroWind,8.0,MORTGAGE,51000.0,other,Personal Loan,921xx,CA,11.08,0,03-Nov,0,57.0,,9,0,11875,60.60%,17,f,0,57.0,INDIVIDUAL,0,0.0,250555.0,True
1015,3220090,3962947,16950,16950,406.01,C,C2,valey home care,10.0,MORTGAGE,85000.0,debt_consolidation,debt reduction,074xx,NJ,12.3,2,Oct-98,0,6.0,15.0,9,1,4399,55.70%,17,f,0,38.0,INDIVIDUAL,0,0.0,349422.0,True
32118,1508985,1770636,9600,9600,345.96,D,D1,chandler garage door services,7.0,MORTGAGE,56000.0,debt_consolidation,pay off,953xx,CA,11.91,0,04-Aug,1,38.0,,9,0,7381,69.60%,16,f,0,40.0,INDIVIDUAL,0,0.0,210753.0,True
26652,1568799,1836155,20000,20000,499.96,C,C5,,,MORTGAGE,100000.0,small_business,Business Loan,641xx,MO,12.44,0,Dec-86,2,,,22,0,33477,35.30%,52,w,0,,INDIVIDUAL,0,0.0,249183.0,True
16045,2175223,2548118,8400,8400,305.75,D,D2,Paradyme Precision,3.0,RENT,45000.0,credit_card,Credit Card Refinancing,957xx,CA,19.49,0,07-Jun,1,,,14,0,6914,81.30%,15,f,0,,INDIVIDUAL,0,0.0,31659.0,True
12858,2301283,2733854,15000,15000,529.51,C,C4,Poway Irrigation,10.0,MORTGAGE,70000.0,debt_consolidation,Debt Consolidation,920xx,CA,13.11,1,01-Apr,1,5.0,,13,0,13934,51.60%,30,f,0,,INDIVIDUAL,0,0.0,240715.0,True
45996,1334471,1579814,17625,17625,476.72,E,E3,IES Commercial Inc.,1.0,RENT,45000.0,debt_consolidation,Debt Consolidation,852xx,AZ,23.79,0,Jun-98,0,39.0,,6,0,12372,75.90%,9,f,0,,INDIVIDUAL,0,,,True
2534,3146463,3858745,16450,16450,539.65,B,B2,"Classic Liqour, Inc",2.0,MORTGAGE,36875.0,credit_card,Credit card refinancing,257xx,WV,32.89,0,Jan-71,0,35.0,,11,0,31586,78.80%,16,f,0,,INDIVIDUAL,0,0.0,86290.0,True
16578,2082011,2434649,13475,13475,469.17,C,C2,"Barron Builders of Pineville, Inc.",2.0,MORTGAGE,53000.0,debt_consolidation,Drowning in Minimum Payments,713xx,LA,16.55,0,Jun-96,2,34.0,,14,0,34681,79.20%,30,f,0,,INDIVIDUAL,0,0.0,194969.0,True
15484,2227111,2639500,2400,2400,79.86,B,B3,asplundh tree experts ,3.0,RENT,27000.0,medical,Medical expenses,430xx,OH,24.58,0,07-May,0,,,6,0,6411,68.20%,13,f,0,,INDIVIDUAL,0,0.0,15303.0,True
13664,2299311,2731797,13500,13500,442.87,B,B2,"McCarthy Building Companies, Inc.",10.0,MORTGAGE,104000.0,debt_consolidation,Debt Consolidation,852xx,AZ,29.01,1,Feb-94,2,9.0,,12,0,83121,73.10%,39,f,0,,INDIVIDUAL,0,0.0,481466.0,True
34890,1438689,1690571,5000,5000,156.46,A,A4,New Horizon Farms,5.0,MORTGAGE,35000.0,home_improvement,New Shingles,561xx,MN,2.4,0,01-May,0,,,6,0,3276,40.90%,14,f,0,,INDIVIDUAL,0,,,True
19759,1679006,1961430,21100,21100,576.66,E,E3,Lamar Hodge-State Farm Insurance,10.0,MORTGAGE,110000.0,debt_consolidation,Loan Consolidation,355xx,AL,13.92,1,Dec-95,3,16.0,,11,0,13875,88.90%,49,f,0,,INDIVIDUAL,0,0.0,161098.0,True
9073,2826396,3408859,31300,31300,1120.15,C,C5,Flowers Foods,3.0,MORTGAGE,70000.0,debt_consolidation,Debt consolidation,291xx,SC,24.14,0,Dec-99,0,32.0,,9,0,17026,83.50%,53,w,0,,INDIVIDUAL,0,298.0,141714.0,True
39834,1360200,1604231,8000,8000,273.78,B,B5,Controlled Combustion,10.0,RENT,40820.0,debt_consolidation,DEBT FREE,104xx,NY,17.87,0,06-Oct,2,,,13,0,8135,50.10%,14,f,0,,INDIVIDUAL,0,,,True
31856,1508682,1770528,25000,25000,676.34,E,E2,Eagle Elevator,3.0,MORTGAGE,112000.0,home_improvement,Our Place,064xx,CT,8.08,0,Mar-94,1,,,12,0,76500,46%,20,f,0,,INDIVIDUAL,0,0.0,152325.0,True
20425,1692522,1975211,6325,6325,216.46,B,B5,VA Medical Center,5.0,MORTGAGE,56441.0,debt_consolidation,Debt relief,275xx,NC,5.34,0,01-Mar,3,37.0,,14,0,6010,39.50%,29,f,0,37.0,INDIVIDUAL,0,0.0,492497.0,True
19815,1695779,1988609,30000,30000,875.28,G,G1,Avnet Inc,1.0,RENT,96000.0,debt_consolidation,Debt Consolidation - ALL,852xx,AZ,18.8,5,Apr-96,3,15.0,,12,0,7408,87.20%,49,f,0,20.0,INDIVIDUAL,0,0.0,48263.0,True
16569,2092007,2424688,20000,20000,479.06,C,C2,,6.0,MORTGAGE,85000.0,debt_consolidation,Debt Consol,234xx,VA,16.7,0,Jan-00,0,61.0,,6,0,8401,84%,11,w,0,61.0,INDIVIDUAL,0,0.0,310062.0,True
46101,1337633,1582596,19200,19200,529.96,E,E5,"Harris Teeter,Inc.",3.0,RENT,100000.0,credit_card,Credit card refinancing,201xx,VA,14.64,0,01-Dec,2,,,8,0,36404,65%,15,f,0,,INDIVIDUAL,0,,,True
7395,2836769,3419251,9000,9000,315.53,C,C3,Parker Hannifin Corp,10.0,MORTGAGE,70000.0,debt_consolidation,debt payoffs,488xx,MI,20.5,1,01-Aug,2,23.0,91.0,12,1,7744,58.20%,33,f,0,,INDIVIDUAL,0,537.0,42150.0,True
35256,1470392,1727360,3825,3825,129.09,B,B4,"EXPEDITOR INTERNATIONAL OF WASHINTON,INC",2.0,MORTGAGE,40000.0,debt_consolidation,CONSOLIDATION DEBT LOAN,333xx,FL,12.72,0,Jul-97,2,,,8,0,4071,67.80%,11,f,0,,INDIVIDUAL,0,,,True
42198,1392566,1639730,15000,15000,547.95,D,D3,Terumo BCT,8.0,RENT,40000.0,debt_consolidation,Back on track,800xx,CO,14.55,2,Jun-90,1,16.0,,6,0,8988,67.10%,30,f,0,,INDIVIDUAL,0,,,True
24006,1606051,1877230,2500,2500,87.05,C,C2,Zenith American Solutions,1.0,RENT,27000.0,moving,Moving/Relocation,640xx,MO,9.33,1,Nov-98,2,20.0,,9,0,2769,60.20%,34,f,0,22.0,INDIVIDUAL,0,103.0,188618.0,True
6383,3055955,3728375,18225,18225,668.52,D,D4,American Spring Wire,7.0,MORTGAGE,47000.0,small_business,Business,441xx,OH,16.39,1,Feb-00,0,8.0,88.0,9,1,23512,64.80%,14,f,0,,INDIVIDUAL,0,0.0,23512.0,True
